name,description,address,phone,website,image
The 38 Best Restaurants in Boston,"Welcome to Boston’s Eater 38, otherwise known as the answer to any question that begins with: “Can you recommend a restaurant?”",,,,
Spoke Wine Bar,"It’s amazing what can come out of a kitchen like the one at Spoke; it’s one of the tiniest in town, but you’d hardly know it from the beautifully composed small plates that play with seasonal ingredients and inspiration from around the world. One might dine on sambal-cured mackerel, for example, with coconut, milk bread, and Thai basil, or savory doughnuts made with sunchokes. And it’s a wine bar, so don’t forget the wines, which dance around familiar and lesser-known regions. Cocktails with interesting ingredients — fermented plantain, habanada pepper, “secrets” — round out the menu.","89 Holland St, Somerville, MA 02144",(617) 718-9463,http://www.spokewinebar.com/,https://cdn.vox-cdn.com/uploads/chorus_image/image/73039680/IMG_0725_EDIT.0.jpg
Sugidama,"A nearly decade-old staple of Somerville’s Davis Square, izakaya and soba shop Sugidama recently re-joined the restaurant scene after a nearly yearlong hiatus while the spot moved down the block. The shiny, light-filled space is a calm, cozy respite where diners can dig into some of the best soba around Boston. The snappy buckwheat noodles are excellent, and Sugidama’s signature umami-rich broth is a smoky, savory delight. An array of sushi, donburi, and yakitori fill out the menu.","234 Elm Street, Somerville, Massachusetts 02144",(617) 764-5770,http://www.sugidamasoba.com/,https://cdn.vox-cdn.com/uploads/chorus_image/image/73039681/IMG_1984_EDIT.0.jpg
Sarma,"Sarma, the sibling toOleanaandSofra, opened in late 2013 on the tip of Winter Hill in Somerville, just uphill from bustling Union Square. It’s a beautiful, colorful spot with a lively bar scene. Chef and owner Cassie Piuma creates a gorgeous array of Turkish-inspired small plates. Note: Reservations can be difficult to get at the last minute here; planning ahead is important.","249 Pearl St, Somerville, MA 02145",(617) 764-4464,https://www.sarmarestaurant.com/,https://cdn.vox-cdn.com/uploads/chorus_image/image/73451814/Sarma_04_Rachel_Leah_Blumenthal.0.0.jpg
La Brasa,"Founded by owner and chef Daniel Bojorquez, Mexican-rooted restaurant La Brasa has been stoking the flames in East Somerville for a decade, consistently turning out excellent wood-fired meat, seafood, and vegetable dishes. However, the restaurant has leveled up recently with the addition of executive chef Jay Murray, an industry veteran who spent nearly 20 years at downtown Boston institution Grill 23 & Bar (another essential restaurant on this list). If you haven’t made a reservation yet, now’s the time.","124 Broadway, Somerville, MA 02145",(617) 764-1412,https://www.labrasasomerville.com/,https://cdn.vox-cdn.com/uploads/chorus_image/image/73846954/IMG_6772_EDIT.0.jpg
La Royal,"We generally try to avoid having the same restaurant group make multiple appearances on the Eater 38, but in the case of La Royal, from the same folks behind the award-winning Peruvian stunner Celeste, it’s really just that good. JuanMa Calderón and Maria Rondeau didn’t miss a beat at La Royal, which cultivates their signature transportive, fun-night-out energy in a larger space. The tart, punchy ceviches sing here, as do regional plates that nod to different aspects of Peruvian culture and food, including Peruvian Chinese, or Chifa, plates like stir-fried noodles with seafood or vegetables. On the drinks side, the pisco martini haswon fansfrom all over, and the classic pisco sour hits the spot every time.","221 Concord Ave, Cambridge, MA 02138",617-823-1595,http://www.laroyalcambridge.com/,https://cdn.vox-cdn.com/uploads/chorus_image/image/73267351/La_Royal___Rachel_Leah_Blumenthal_18.0.jpg
Moëca,"Boston is bursting with seafood — lobster rolls, scallop crudo,oyster happy hours, you name it — but seafood that bucks traditional preparations? That’s a bit less common. Enter Moëca, the younger sibling to the perpetually booked-out Italian restaurantGiuliajust down the street on Massachusetts Avenue in Cambridge. This is where you go for craggy, buttermilk-fried monkfish showered with sesame seeds and a pool of tamarind hot sauce on the side. This is where you go for steamed mussels served not in a bowl but over a whopping hunk of sourdough soaked in a Basque pil pil sauce. Seafood takes unexpected, surprising forms at Moëca, and it is well worth the ride.","1 Shepard St (Massachusetts Avenue), Cambridge, MA 02138",,http://moecarestaurant.com,https://cdn.vox-cdn.com/uploads/chorus_image/image/73846955/IMG_8010_EDIT.0.jpg
Barra,This intimateMexico City-inspired baris the type of place that connoisseurs of Latin American liquors can squeeze in shoulder-to-shoulder and have a stellar night making new friends while tasting sotol and bacanora. Those who are seeking a little more space can try out the festive sidewalk patio in warmer months; it’s the ideal spot to snack on tetelas and cactus salad with grasshoppers while drinking mezcal-based variations on classic cocktails.,"23a Bow St, Somerville, MA 02143",,http://barraunionsquare.com/,https://cdn.vox-cdn.com/uploads/chorus_image/image/73039684/barra_chile_relleno_taco.13.jpg
Celeste,"Celeste, an Eater BostonRestaurant of the Yearin 2018, is a dreamy little spot in Somerville’s Union Square, serving flavorful Peruvian dishes in a neighborhood known for its Peruvian options. All are worthy destinations, but Celeste is the spot for bright ceviche, fragrant lomo saltado, and the feeling of sipping pisco as the honored guest at the joyfully crowded dinner party of co-founders JuanMa Calderón and Maria Rondeau.","21 Bow St, Somerville, MA 02143",(617) 616-5319,https://celesteunionsquare.com/,https://cdn.vox-cdn.com/uploads/chorus_image/image/73039685/Celeste___Rachel_Leah_Blumenthal_18.0.jpg
Taquería Jalisco,"Ask any local about the best Mexican restaurant in Boston, and the conversation will inevitably turn to Taquería Jalisco. For nearly 25 years, Bostonians have been packing into this welcoming little spot to get their hands on bowls of belly-warming pozole, tacos stuffed with juicy carnitas, spicy pork tamales, and some truly excellent scoops of rice and refried beans. Top off each order with a sweet, fresh fruit juice, including pineapple or tamarind.","291 Bennington St, Boston, MA 02128",(617) 567-6367,https://www.facebook.com/Taqueria-Jalisco-116253278461293/,https://cdn.vox-cdn.com/uploads/chorus_image/image/73039686/IMG_0622.0.jpg
Lehrhaus,"A great restaurant can do multiple things — serve excellent food, sure, but also provide a window into different cultures and traditions for far less money than a plane ticket. At Lehrhaus, Somerville’s self-proclaimed Jewish tavern and house of learning (why notdrop in on a classwhile you’re around), the team aims to dismantle stereotypes about Jewish food by tracing the Jewish diaspora through many corners of the world, from fish and chips with Old Bay-seasoned fries (invented by a German Jewish immigrantin Baltimore) to Southern-inflected mac-and-cheese kugel and Eastern European kasha with miso-tahini eggplant. Don’t pass up a cocktail while you’re here; the person who dreamt up the bar program, Naomi Levy, is one of the best in the business.","425 Washington St (Beacon St), Somerville, MA 02143",,https://www.lehr.haus/,https://cdn.vox-cdn.com/uploads/chorus_image/image/73267352/Lehrhaus_Lounge.0.jpeg
