city,restaurant,wine_section,wine_name
Boston,La_Royal,WINE BY THE GLASS,"WINE SPARKLING Vita Vivet Sparkling, Cava Brut nature, Catalonia, SP 14"
Boston,La_Royal,WINE BY THE GLASS,"‘22 Passionate Wines, Del Mono Blanco Sauvignon Blanc, AR 13"
Boston,Blue_Nile,,"—  Sauvignon Blanc  — Monte Xanic 2021, Baja California, Mexico $ 13"
Boston,Blue_Nile,,"—  Pinot Grigio  — Scarpetta Friuli-Venezia Giulia, Italy $ 14"
Boston,Blue_Nile,,"—  Chardonnay  — Jordan 2020, California $ 19"
Boston,Blue_Nile,,"—  Cabernet Sauvignon  — Bonanza by Caymus, California $ 16"
Boston,Blue_Nile,,"—  Pinot Noir  — Tripper 2020, Elkton, Oregon $ 12"
Boston,Toro,WINE BY THE BOTTLE MENU,Familia Torres Tempranillo Crianza Rioja 2019
Boston,Toro,WINE BY THE BOTTLE MENU,"Partida Creus ""VN"" Sparkling Red Pet Nat Catalunya 2021"
Boston,Toro,WINE BY THE BOTTLE MENU,"Gramona ""Gessami"" Sauvignon Blanc Penedès 2022"
Boston,Toro,WINE BY THE BOTTLE MENU,"MicroBio ""Correcaminos"" Tempranillo/Verdejo Castillo y León 2022"
Boston,Toro,WINE BY THE BOTTLE MENU,"Cosmic ""Gratitud"" Cabernet Franc + Catalonia 2023"
Boston,Toro,WINE BY THE BOTTLE MENU,Luberri Gran Reserva Tempranillo Rioja 2015
Boston,Toro,WINE BY THE BOTTLE MENU,"Vall Llach ""Embruix"" Cabernet + Rioja 2019"
Boston,Toro,WINE BY THE BOTTLE MENU,"Pingus ""PSI"" Tempranillo Ribera del Duero 2023"
Boston,Toro,WINE BY THE BOTTLE MENU,Vina Alberdi Tempranillo Reserva Rioja 2019
Boston,Comfort_Kitchen,,"Coffee, Espresso, Tea, and Sparkling Waters beverage menu V Vegetarian | VG/VGO Vegan or w/ modification |"
Boston,Merengue_Restaurant,,Agua Mineral Sparkling Mineral Water $3.00
Boston,Merengue_Restaurant,,"Vino Blanco/White Wine Chardonnay (Yellow Tail, Australia) Glass $8.00"
Boston,Merengue_Restaurant,,"Pinot Grigio ( Esperto, California ) Glass $10.00"
Boston,Merengue_Restaurant,,"Riesling ( Frisk, Australia ) Glass $10.00"
Boston,Merengue_Restaurant,,"Bubbles Prosecco (La Marca, Italy) Bottle $50.00"
Boston,Merengue_Restaurant,,"Vino Tinto/Red Wine Merlot ( Yellow Tail, Australia ) Glass $8.00"
Boston,Merengue_Restaurant,,"Pinot Noir ( Cono Sur Bicicleta, Chile ) Glass $10.00"
Boston,Merengue_Restaurant,,"Cabernet Sauvignon ( Yellow Tail, Australia ) Glass $8.00"
Boston,Merengue_Restaurant,,Chismosas La Marca Prosecco (mini bottle) and Passion Fruit Juice $16.00
Boston,Sarma,,"RIPTIDE irish whiskey, bourbon, braulio, rosemary, thyme, sage, lemon TEMPORARY LOVE sarma rum, fenugreek, sesame orgeat, banana, lime, cinnamon"
Austin,Arriba_Abajo,,"Mule Vodka and ginger beer with a squeeze of lime Choose a flavor: strawberry basil, pineapple epazote, cucumber mint, blood-orange rosemary"
Austin,Arriba_Abajo,,Vinos Poema Cava Pazo Das Bruxas Albarino Routestock Chardonnay La Fete Rose Cline Seven Ranchlands Pinot Noir
Austin,Arriba_Abajo,,"Angeline Cabernet Zero-Proof Luchador Limonada NA gin, cucumber, lime, mint, Lyre’s classico NA sparkling"
Austin,Arriba_Abajo,,"Mule Vodka and ginger beer with a squeeze of lime Choose a flavor: strawberry basil, pineapple epazote, cucumber mint, blood-orange rosemary"
Austin,Arriba_Abajo,,Poema Cava Pazo das Bruxas Albarino RouteStock Chardonnay La Fete Rose Cline Seven Ranchlands Pinot Noir
Austin,Arriba_Abajo,,"Angeline Cabernet Zero-Proof Luchador Limonada NA gin, cucumber, lime, mint, Lyre’s classico NA sparkling"
Austin,Group_Therapy,,CUCUMBER BASIL SPRITZ Hornitos Blanco | Cucumber | Basil | Lime | St~Germain | La Marca Prosecco
Austin,Group_Therapy,,"BUBBLES LA MARCA, ITALY PROSECCO 16./64."
Austin,Group_Therapy,,"TORRESELLA, ITALY PROSECCO 18./72."
Austin,Group_Therapy,,"HAMPTON WATER, SOUTH OF FRANCE SPARKLING ROSÉ 20./80."
Austin,Group_Therapy,,"WHITE WINE DAOU, PASO ROBLES CHARDONNAY 16./56."
