name,description,address,phone,website,image
The Best Rooftop Bars and Restaurants in Austin,"With sunshine aplenty in the Capitol City, it’s almost always the perfect time to dine and drink outdoors, especially before the grueling heat of summer kicks in. Why not take it up a level – literally – by heading to a rooftop with great food and drinks in hand?",,,,
Otopia,"While most of Austin’s best rooftops are Downtown, this rooftop bar on top of the West Campus neighborhood Otis Hotel offers excellent city views, without driving south of MLK. Diners can enjoy a New American menu (think tuna wonton tacos and pulled pork sliders), cocktails, wine, and beer, all while 11 stories up. Check out its weekly events and specials, including its Golden Hour specials, which offer discounted cocktails and half-off select appetizers from one hour before sunset until sunset, Monday through Thursday.","1901 San Antonio St, Austin, TX 78705",,,https://cdn.vox-cdn.com/uploads/chorus_image/image/73996813/rooftop_pool_1.0.jpeg
Sway,"Now Austin’s only remaining location of the upscale Thai restaurant, this Westlake hotspot features a rooftop bar with Downtown views. Order cocktails, wine, and, of course, some spicy Thai food. Don’t skip the Son-in-Law dish — braised pork shoulder with sweet soy, nahm prik pla, and a crispy farm egg.","3437 Bee Caves Rd, West Lake Hills, TX 78746",(512) 326-1999,https://swaythai.com/,https://cdn.vox-cdn.com/uploads/chorus_image/image/73996814/modern_thai.0.jpg
Upstairs at Caroline,"The joint rooftop bar from Downtown hotels Aloft and Element features lawn games, draft and frozen cocktails, and tacos, overlooking the center of the city. It’s an excellent respite, especially during busy festivals at the nearby Paramount Theatre. Check out its lineup of weekly events, which include a weekday happy hour, trivia every second Monday of the month, live DJs on Saturday nights, and a Sunday Yappy Hour where bringing your dog will get you 25 percent off your tab.","621 Congress Ave #201, Austin, TX 78701",(512) 982-6766,http://www.carolinerestaurant.com/,https://cdn.vox-cdn.com/uploads/chorus_image/image/62530427/Corrected_10.0.0.jpg
Paperboy,"Daily brunch is the name of the game at this cute Central East Austin restaurant, offering breakfast dishes from pancakes to cheeseburgers every single day. Head upstairs for its intimate, airy rooftop patio overlooking East 11th Street, and kickstart the fun with a jolt of one of its expertly made coffee drinks or one of its cocktails, like its guava spritz or its Rise & Shine mocktail, a rejuvenating mix of carrot, lime, and ginger with Tajín.","1203 E 11th St, Austin, TX 78702",(512) 910-3010,http://www.paperboyaustin.com/,https://cdn.vox-cdn.com/uploads/chorus_image/image/73996815/LS102518.0.jpg
Group Therapy,"Perched on the seventh floor of Downtown’s Hotel ZaZa, this stunning bar offers a blend of poolside vibes and city views. Step onto the patio, soak up the sunshine, and sip on refreshing cocktails like margaritas, Aperol spritzes, and mojitos. Pair drinks with tasty bites like salty-garlic fries, beef sliders, and jalapeño calamari for the ultimate rooftop experience. Brunch is also available poolside.","400 Lavaca St, Austin, TX 78701",(512) 542-9292,http://hotelzaza.com/Austin/dining/group-therapy,https://cdn.vox-cdn.com/uploads/chorus_image/image/73996816/group_therapy.0.jpeg
Arriba Abajo,"Perched on the fourth floor of the Thompson Hotel, Arriba Abajo is a lively rooftop bar and restaurant infused with Oaxacan flair. Lush with greenery, cozy cabanas, and stylish booths, it offers a vibrant escape from Downtown Austin. The menu features Mexican-inspired dishes, like chili-crusted prawn fajitas, alongside creative margaritas, Ranch Waters, and frozen cocktails. Grab a day pass for the rooftop pool or stop by at sunset for stunning Fifth Street views and expertly crafted drinks.","506 San Jacinto Boulevard, Austin, Texas 78701",,https://www.arribaabajoatx.com/,
Azul Rooftop Bar at the Westin,"Sip on frozen drinks at the Westin Downtown’s 20-story-high rooftop pool and bar while partaking in the hotel’s public afternoon and evening hours. For food, expect New American-ish dishes like crab hushpuppies and burgers. Bonus: The bar is open until midnight on Fridays and Saturdays. Day passes and cabana rentals are also available for those looking to swim.","310 E 5th St, Austin, TX 78701",(512) 792-5622,https://www.azulrooftopatx.com/,https://cdn.vox-cdn.com/uploads/chorus_image/image/62530430/Pool_Lounge_area.0.0.0.0.0.jpg
El Cockfight,"This Downtown mezcal and tequila bar brings the spirit of Oaxaca to Austin. Inspired by Mexico City’s La Condesa neighborhood, the bar serves Oaxacan-style cocktails crafted with freshly squeezed juices and homemade bitters. Enjoy daily happy hour, live music, and a rotating frozen cocktail flight featuring tequila and mezcal blends — perfect for imbibing on the expansive rooftop patio.","121 East 5th Street, Austin, Texas 78701",,https://www.instagram.com/elcockfight/,https://cdn.vox-cdn.com/uploads/chorus_image/image/73996817/IMG_0969.0.jpeg
La Piscina Ceviches & Fajitas,"This restaurant on the fifth floor of the Downtown hotel Austin Proper serves Texas-ish Mexican food and drinks. There’s the festive, bright, and airy dining room, while the poolside patio space overlooks the hustle and bustle of downtown. Order the lobster quesadilla.","600 W 2nd St 5th Floor, Austin, TX 78701",(512) 628-1415,https://www.properhotel.com/austin/restaurants-bars/la-piscina/,
