name,website,menu_url,wine_details
Spoke Wine Bar,http://www.spokewinebar.com/,N/A,No menu link found
Sugidama,http://www.sugidamasoba.com/,N/A,No menu link found
Sarma,https://www.sarmarestaurant.com/,N/A,No menu link found
La Brasa,https://www.labrasasomerville.com/,N/A,No menu link found
La Royal,http://www.laroyalcambridge.com/,N/A,No menu link found
Moëca,http://moecarestaurant.com,N/A,No menu link found
Barra,http://barraunionsquare.com/,N/A,No menu link found
Celeste,https://celesteunionsquare.com/,N/A,No menu link found
Taquería Jalisco,https://www.facebook.com/Taqueria-Jalisco-116253278461293/,N/A,No menu link found
Lehrhaus,https://www.lehr.haus/,N/A,No menu link found
Moona,http://www.moonarestaurant.com/,N/A,No menu link found
Puritan & Company,http://www.puritancambridge.com/,Error,Error fetching homepage: HTTP Error 429: Too Many Requests
Wusong Road,https://www.wusongroad.com/,Error,Error fetching homepage: HTTP Error 429: Too Many Requests
Cicada,http://www.instagram.com/cicadacoffeebar/,N/A,No menu link found
Sumiao Hunan Kitchen,http://www.sumiaohunan.com/,http://www.bostonherald.com/lifestyle/food_beverage/2018/02/sumiao_hunan_kitchen_s_menu_celebrates_owners_long_romance,No wine details found
Si Cara,https://www.sicarapizza.com,https://www.sicarapizza.com/cambridge-central-square-si-cara-drink-menu,"All wines available by the glass (150ml), or by the bottle.; Natural Wine"
Neptune Oyster,http://www.neptuneoyster.com/,Error,Error fetching homepage: HTTP Error 429: Too Many Requests
Taiwan Cafe,https://ordertaiwancafe.com/,N/A,No menu link found
Yume Ga Arukara,https://www.yumegaarukara.com/locations,Error,Error fetching homepage: HTTP Error 429: Too Many Requests
Mooncusser,http://www.mooncusserboston.com/,N/A,No menu link found
Grill 23 & Bar,No website found,N/A,No website
Row 34,http://row34.com/,N/A,No menu link found
Krasi,https://krasiboston.com/,Error,Error fetching homepage: HTTP Error 429: Too Many Requests
Fox & the Knife,http://www.foxandtheknife.com/,Error,Error fetching homepage: HTTP Error 429: Too Many Requests
Kava Neo-Taverna,http://www.kavaneotaverna.com/,N/A,No menu link found
SRV,http://www.srvboston.com/,N/A,No menu link found
Toro,http://www.toro-restaurant.com/,N/A,No menu link found
Blossom Bar,https://www.blossombarbrookline.com/,N/A,No menu link found
Mahaniyom,http://www.mahaniyomboston.com/,N/A,No menu link found
Thistle & Leek,http://www.thistleandleek.com/,N/A,No menu link found
Suya Joint,https://suyajoint.com/,Error,Error fetching homepage: HTTP Error 403: Forbidden
Blue Nile,http://bluenileboston.com,N/A,No menu link found
Merengue Restaurant,http://www.merenguerestaurant.com/,N/A,No menu link found
Comfort Kitchen,https://www.comfortkitchenbos.com/,N/A,No menu link found
Singh's Roti Shop,http://www.singhsrotishop.net/,Error,Error fetching homepage: 'utf-8' codec can't decode byte 0x8b in position 1: invalid start byte
Banh Mi Ba Le,http://balebanhmiboston.com/,N/A,No menu link found
Tonino,http://www.toninojp.com/,N/A,No menu link found
Rubato,https://www.rubato-food.com/,Error,Error fetching homepage: HTTP Error 429: Too Many Requests
