city,restaurant,wine_section,wine_name
Boston,La_Royal,WINE BY THE GLASS,"SPARKLING Vita Vivet Sparkling, Cava Brut nature, Catalonia, SP 14"
Boston,La_Royal,WINE BY THE GLASS,"WHITE $ ‘21 Gaspard, Chenin Blanc, Loire Valley FR	14"
Boston,La_Royal,WINE BY THE GLASS,"‘22 Passionate Wines, Del Mono Blanco Sauvignon Blanc, AR 13"
Boston,La_Royal,WINE BY THE GLASS,"‘21 Finca Arantei, Albarino,Rias Baixas SP	15"
Boston,La_Royal,WINE BY THE GLASS,"$ ‘21 Gaspard, Chenin Blanc, Loire Valley FR	14"
Boston,La_Royal,WINE BY THE GLASS,"SKIN CONTACT ‘22 Oenogenesis, Mataroa Amber, GR 15"
Boston,La_Royal,WINE BY THE GLASS,"‘22 Basaurresti, Lahu Txokolina Rosato, SP 15"
Boston,La_Royal,WINE BY THE GLASS,RED ‘19 Pedro Parra 'Pencopolitano' Cinsault/Pais Itata CH 13
Boston,La_Royal,WINE BY THE GLASS,"‘22 Passionate Wines, Del Mono Tinto, Malbec, AR 13"
Boston,Toro,WINE BY THE GLASS MENU,VERMUT & SHERRY
Boston,Toro,WINE BY THE BOTTLE MENU,JAMÓNES Y QUESOS $ 15
Boston,Toro,WINE BY THE BOTTLE MENU,Jamón Serrano $ 15
Boston,Toro,WINE BY THE BOTTLE MENU,$ 12
Boston,Toro,WINE BY THE BOTTLE MENU,Molinari Finocchiona $ 12
Boston,Toro,WINE BY THE BOTTLE MENU,$ 24
Boston,Toro,WINE BY THE BOTTLE MENU,Jamón Ibérico $ 24
Boston,Toro,WINE BY THE BOTTLE MENU,$ 20
Boston,Toro,WINE BY THE BOTTLE MENU,Salchichón Ibérico $ 20
Boston,Toro,WINE BY THE BOTTLE MENU,$ 10
Boston,Toro,WINE BY THE BOTTLE MENU,Manchego (v) sheep $ 10
Boston,Toro,WINE BY THE BOTTLE MENU,$ 10
Boston,Toro,WINE BY THE BOTTLE MENU,Sherry Cask (v) sheep $ 10
Boston,Toro,WINE BY THE BOTTLE MENU,$ 10
Boston,Toro,WINE BY THE BOTTLE MENU,"Valdeón Blue (v) sheep, cow, goat $ 10"
Boston,Toro,WINE BY THE BOTTLE MENU,$ 9 Cabra Romero goat $ 9 $ 39
Boston,Toro,WINE BY THE BOTTLE MENU,"Meat & Cheese Board assortment of meats, cheeses, almonds and pickles"
Boston,Toro,WINE BY THE BOTTLE MENU,$ 39
Boston,Toro,WINE BY THE BOTTLE MENU,"PINTXOS $ 8 Ventresca spanish tuna belly, valdeón mousse $ 8"
Boston,Toro,WINE BY THE BOTTLE MENU,"$ 6 Morcilla* piquillo pepper, quail egg $ 6 $ 5"
Boston,Toro,WINE BY THE BOTTLE MENU,"Txistorra y Padron chorizo, shishito pepper $ 5 $ 6 Queso de Tetilla (v)"
Boston,Toro,WINE BY THE BOTTLE MENU,"soft cows milk cheese, red pepper jam $ 6 TAPAS PEQUEÑAS"
Boston,Toro,WINE BY THE BOTTLE MENU,$ 9 Aceitunas (v) marinated olives $ 9 $ 9 Almendras (v)
Boston,Toro,WINE BY THE BOTTLE MENU,"marcona almonds, olive oil, sea salt $ 9 $ 12"
Boston,Toro,WINE BY THE BOTTLE MENU,"Boquerones marinated white anchovies, olive oil $ 12"
Boston,Toro,WINE BY THE BOTTLE MENU,$ 10
Boston,Toro,WINE BY THE BOTTLE MENU,"Escalivada Catalana (v) smoked eggplant, peppers, tomatoes, sherry vinegar $ 10"
Boston,Toro,WINE BY THE BOTTLE MENU,$ 10
Boston,Toro,WINE BY THE BOTTLE MENU,"Tortilla Española* (v) egg & potato omelet, onion, olive oil $"
Boston,Toro,WINE BY THE BOTTLE MENU,10
Boston,Toro,WINE BY THE BOTTLE MENU,"$ 8 Pan con Tomate (v) toasted bread, tomato, garlic $"
