name,price,section,description,year
Four Roses . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,10,SPIRITS,,
Basil Hayden  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,13,SPIRITS,,
Calumet  Farms 15yr . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,32,SPIRITS,,
Elijah Craig Small Batch . . . . . . . . . . . . . . . . . . . . . . . .,11,SPIRITS,,
Hirsch the Bivouac  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,14,SPIRITS,,
Maker’s Mark . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,11,SPIRITS,,
Whistle Pig PiggyBack 100 P roof . . . . . . . . . . . . . . . . .,11,SPIRITS,,
Widow Jane 10yr 10th Anniversary  Edition  . . . . .,23,SPIRITS,,
Woodford  Reserve  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,11,SPIRITS,r y e,
Rittenhouse  100 P roof . . . . . . . . . . . . . . . . . . . . . . . . . . . .,10,SPIRITS,,
Castle & K ey Restoration  . . . . . . . . . . . . . . . . . . . . . . . . .,11,SPIRITS,,
Hudson  Short Stack Maple Cask . . . . . . . . . . . . . . . .,15,SPIRITS,,
Knob Creek 100 P roof . . . . . . . . . . . . . . . . . . . . . . . . . . . .,13,SPIRITS,,
Rye & Sons . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,10,SPIRITS,,
Sagamore  Cask Strength  . . . . . . . . . . . . . . . . . . . . . . . . . .,16,SPIRITS,Whistle Pig 15yr . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 55WHISK(E)Y c o g n a c,
DEAu VSOP  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,16,SPIRITS,,
Deau XO . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,34,SPIRITS,a m e r i c a n  b r a n d y,
Laufer Vitis VS . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,14,SPIRITS,Laird’s Straight  Apple Brandy  . . . . . . . . . . . . . . . . . . . 10s c o t c h,
Monkey  Shoulder  Blended  . . . . . . . . . . . . . . . . . . . . . .,10,SPIRITS,,
AnCnoc 12yr Highland  . . . . . . . . . . . . . . . . . . . . . . . . .,14,SPIRITS,,
Auchentoshan  American  Oak Lowland  . . . . . . . . .,13,SPIRITS,,
Balbair  12yr Highland   . . . . . . . . . . . . . . . . . . . . . . . . . .,16,SPIRITS,,
Balvenie  14yr Caribbean  Cask Speyside  . . . . . . . . .,21,SPIRITS,,
Glenfiddich   14yr Bourbon  Barrel Reserve  . . . . . .,18,SPIRITS,,
Laphroaig  10yr Islay . . . . . . . . . . . . . . . . . . . . . . . . . . .,18,SPIRITS,,
Ledaig 10yr Isle of Mull. . . . . . . . . . . . . . . . . . . . . . . .,16,SPIRITS,,
Old Pulteney  12yr Highland  . . . . . . . . . . . . . . . . . . .,12,SPIRITS,,
Tomintoul   21yr Speyside  . . . . . . . . . . . . . . . . . . . . . . . . .,38,SPIRITS,w o r l d,
"Teeling  Small Batch, Ireland  . . . . . . . . . . . . . . . . . . . . . . .",11,SPIRITS,,
"Irishman  12yr Single Malt, Ireland   . . . . . . . . . . . . . .",18,SPIRITS,,
"Suntory  Toki, Japan . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",11,SPIRITS,,
"Milk & H oney Elements  Single Malt, Israel . . . .",16,SPIRITS,,
Boukha  Fig Brandy  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,10,CONTINUED →,,
GE M assanez  Poire Williams  . . . . . . . . . . . . . . . . . . .,13,CONTINUED →,,
Maraska  Slivovitz  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,10,CONTINUED →,,
Flor De Cana 4yr Extra Seco . . . . . . . . . . . . . . . . . . . .,10,RUM,,
Banks 5 Island  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,11,RUM,,
uruapan  Charanda  Blanco  . . . . . . . . . . . . . . . . . . . . . . . .,10,RUM,,
Appleton  Estate Signature  Blend . . . . . . . . . . . . . . .,10,RUM,,
Rhum Clement  VSOP  . . . . . . . . . . . . . . . . . . . . . . . . . . . .,12,RUM,,
Ron Abuelo  Añejo . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,10,RUM,,
Denizen  Vatted Dark . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,10,RUM,,
Grander  Barrel Series Rye Finish 12yr . . . . . . . . .,12,RUM,,
Flor de Cana 18yr . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,15,RUM,,
Montelobos  Espadin  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,10,RUM,,
Amaras  Cupreata  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,16,RUM,Montelobos  Tobala  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 24MEZCAL,
Lunazul  Blanco  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,10,RUM,,
Milagro  Blanco  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,11,RUM,,
ArteNOM  Selección  de 1123 B lanco  . . . . . . . . . . . .,16,RUM,,
Fuentaseca  Cosecha  2018 B lanco  . . . . . . . . . . . . . .,28,RUM,,2018
Milagro  Barrel Reserve  Reposado  . . . . . . . . . . . . . .,13,RUM,,
Fortaleza  Reposado  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,15,RUM,,
Siete Leguas Reposado  . . . . . . . . . . . . . . . . . . . . . . . . . . .,16,RUM,,
Herradura  ultra Cristalino  Añejo . . . . . . . . . . . . . .,16,RUM,Tequila  Ocho Añejo . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 21  TEQUILA,
CONTINUED →Ford’s London  Dry . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,10,RUM,,
Gin Lane 1751 O ld Tom . . . . . . . . . . . . . . . . . . . . . . . . . . . .,10,RUM,,
Hendrick ’s . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,12,RUM,,
Oxley . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,11,RUM,,
Plymouth  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,11,RUM,Rhodium  Forager ’s . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 12GIN,
Grainger ’s Delux Organic  Gluten  Free . . . . . . . . . .,10,RUM,,
Bully Boy . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,10,RUM,,
Chopin  Potato . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 1,1,RUM,Grey Goose . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 12VODKA,
BEER & WINE →Zachlawi  Traditional  Arak . . . . . . . . . . . . . . . . . . . . . . . .,10,ARAK,,
Zachlawi  Fig Arak . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,10,ARAK,,
Zachlawi  Pistachio  Arak . . . . . . . . . . . . . . . . . . . . . . . . .,10,ARAK,,
flight  of araks . . . . . . . . . . . . . . . . . . . . . .,18,ARAK,,
Vincenzi  Arancia  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,10,AMARI,,
Vincenzi  Capasso  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,10,AMARI,d i g i s t i v i,
Brovo Amaro #1 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,10,AMARI,,
Brovo Amaro #14 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,11,AMARI,,
Luxardo  Fernet ....................................,10,AMARI,,
Drambuie  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,11,LIQUEURS,,
GE M assonez  Créme de Cassis. . . . . . . . . . . . . . .,10,LIQUEURS,,
Luxardo  Amaretto  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,10,LIQUEURS,,
Sabra Coffee . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,10,LIQUEURS,,
Hausmade  Irish Cream . . . . . . . . . . . . . . . . . . . . . . . . . .,10,LIQUEURS,,
Jack’s Abbey House Lager .........................,6,LIQUEURS,"Framingham, MA                 5.2%ABV",
True North Helles Lager .........................,7,LIQUEURS,"Ipswich, MA               5.1%ABV",
Idle Hands Emelyn  Amber ........................,8,LIQUEURS,"Malden, MA               5.5%ABV",
Notch Left of the Dial IPA ........................,7,LIQUEURS,"Salem, MA               4.3%ABV",
Lamplighter  Seasonal  ...............................,8,LIQUEURS,"Cambridge, MA               TBD%ABV",
Remant  Hang Time IPA............................,9,LIQUEURS,"Somerville, MA               6.5%ABV",
Artifact  Feels Like Home Cider...................,7,LIQUEURS,"Florence, MA               5.4%ABV",
Night Shift Nite Lite..................................,6,LIQUEURS,"Everett, MA               4.3%ABV",
Aeronaut  Robot Crush Pilsner ....................,10,LIQUEURS,"Somerville, MA               5.1%ABV Idle Hands Blanche  de Grace Belgian  Wit......11 Malden, MA               5.2%ABV Brooklyn  Special  Effects  Non-Alcoholic  IPA.....7 Utica, NY               <.5%ABV",
Castle Island  Keeper IPA............................,11,LIQUEURS,"South Boston, MA               6.5%ABV",
Aeronaut  Double  IPA...............................,13,LIQUEURS,"Somerville, MA               8.4%ABV",
Brick & F eather  Robust Porter......................,12,LIQUEURS,"Turners Falls, MA               7.1%ABVBEER",
